Title,<bibl> Source ID,Publication date,Author,Title of Periodical,Name of Publisher,Volume (if applicable),Page(s),Place of publication,Entry proofed?,Image/page of scrapbook on which source appears,Link to source,Notes
The Central Nation,owu0108,1852,,The American Whig Review,,"15, 16",,New York,yes,owu_cah.00701-710,https://books.google.com/books?id=LWACAAAAIAAJ&pg=PA317&dq=the+unwillingness+of+a+nation+to+be+known+does+not+diminish+our+anxiety+to+know+her&hl=en&sa=X&ved=0ahUKEwjW4sHCotTeAhVDYK0KHSRiDSIQ6AEIKjAA#v=onepage&q=the%20unwillingness%20of%20a%20nation%20to%20be%20known%20does%20not%20diminish%20our%20anxiety%20to%20know%20her&f=false,
The Physical Atlas: A Series of Maps & Notes Illustrating the Geographical Distribution of Natural Phenomena,,1854,"Johnston, Alexander Keith",,William Blackwood & Sons,,,Edinburgh ,yes,owu_rc.00043-50,https://books.google.com/books?id=TdtFnQAACAAJ&dq=the+physical+atlas&hl=en&sa=X&ved=0ahUKEwjO88O36sjYAhUDRSYKHaTKCOQQ6AEIJzAA,Possible source (no online copy to check) Found the source to actually be Edinburgh Review (see next entry) CH
"The World As it Is, And As it Has Been: Or, A Comprehensive Geography And History, Ancient And Modern",owu0002,1855,"Goodrich, Samuel G.",,J. H. Colton and Company,,,New York,ywa,"whitman_scrapbook_004.tif; 5-9; 74-79, 83-91, 98-102, whitman_scrapbook_268.tif - 271, 294-295, 298-299, 304-305, 310-313, 321-323, 344-9, 357-61, 373-6, 385, 391-6, 411-4, 458-459 (disc 3); many more (including in disc 1); owu_km.00038-39 (disc 6; catalog of J.H. Colton & Co. Publications)",https://catalog.hathitrust.org/Record/011627416,
Smith's Atlas of Modern and Ancient Geography,,1855,Roswell C. Smith,,"Daniel Burgess & Co.,",,,New York,yes,begins on whitman_scrapbook_639.tif (disc five) and seemingly extends to whitman_scrapbook_667.tif (disc 6),can't find full text,"It is the edition of Smith's Atlas that is ""Corrected and Enlarged to Accompany Smith's Geography for Schools, Academies, and Families,"" according to the title page. KM"
"Student and Schoolmate, volumes 3-4",,1856,"Calkins, Norman Allison",,Calkins & Stiles,,,New York,yes,"owu_rc.00064.jpg (""Temperature of the Earth"")",https://books.google.com/books?id=2OksAAAAYAAJ&q=temperature+of+the+earth+scientific+investigations+have+been+made&dq=temperature+of+the+earth+scientific+investigations+have+been+made&hl=en&sa=X&ved=0ahUKEwjApJyF383YAhUIy2MKHfWDAWYQ6AEILDAB,"Excerpt matched, but no ebook available; could not find some other sources on the same page"
Fourth Reader. for Common Schools and Academies,owu0090,1856,"Henry Mandeville, D. D.",,D. Appleton,,,New York,yes,owu_cah.0043-44,https://books.google.com/books?id=bHkSAAAAIAAJ&printsec=frontcover#v=onepage&q&f=false,
Central America,owu3012,1856-01-03,,Brooklyn Daily Eagle,,,,New York,yes,owu_km.00107,https://bklyn.newspapers.com/image/50246057/,Found on Fulton History
Killed an Otter,owu0052,1856-05-10,,New York Clipper,,"4,3",18-27,New York,yes,owu_cah.00425,http://search.ebscohost.com.libproxy.unl.edu/login.aspx?direct=true&db=h9k&AN=60609481&site=ehost-live,
Our Large Pictures.,owu0053,1856-05-24,,"Ballou's Pictorial Drawing-Room Companion, Vol. 10, Iss.21",,10,333,Boston,yes,owu_cah.00426,https://search-proquest-com.libproxy.unl.edu/americanperiodicals/docview/124057433/D936899F9AF949DAPQ/1?accountid=8116,
Says a scientific writer,owu0017,1856-07-19,,Ballou's Pictorial ,,,,Boston,ebsco error,owu_cah.00076,http://web.a.ebscohost.com.libproxy.unl.edu/ehost/archiveviewer/archive?vid=61&sid=8e2c0a5d-982f-4a47-b908-ed860ebf17d9%40sdc-v-sessmgr04&bdata=JnNpdGU9ZWhvc3QtbGl2ZQ%3d%3d#kw=true&acc=false&lpId=divl62&ppId=divp15&twPV=null&xOff=0&yOff=429&zm=2&fs=null&rot=0&docMapOpen=true&pageMapOpen=true&AN=63591554&db=h9k,
"American Association for the Advancement of Science (Proceedings, Day 3)",owu3024,1856-08-25,,New-York Daily Tribune,,,3,New York,yes,owu_km.00188,https://chroniclingamerica.loc.gov/lccn/sn83030213/1856-08-25/ed-1/seq-3/,
New York Herald,owu1022,1856-08-26,,,,,,New York,yes,whitman_scrapbook_437-52.tif,https://chroniclingamerica.loc.gov/lccn/sn83030313/1856-08-26/ed-1/seq-1/,
"American Association for the Advancement of Science (Proceedings, Day 4)",owu3025,1856-08-26,,New-York Daily Tribune,,,6,New York,yes,owu_km.00194; owu_km.00197,https://chroniclingamerica.loc.gov/lccn/sn83030213/1856-08-26/ed-1/seq-6/,
New York Daily Tribune (full newspaper page: pages 5-6),owu3005,1856-08-28,,New York Daily Tribune,,,5,New York,yes,whitman_scrapbook_693-696,https://chroniclingamerica.loc.gov/lccn/sn83030213/1856-08-28/ed-1/seq-5/,
The Scientific Congress.,owu0114,1856-08-28,,New York Herald,,,2,New York,yes,owu_cah.00765,http://chroniclingamerica.loc.gov/lccn/sn83030313/1856-08-28/ed-1/seq-2/,
Inauguration of Dudley Observatory; Uses of Astronomy,owu3013,1856-08-29,,New York Daily Times ,,,2,New York,yes,owu_km.00109; owu_km.00152; owu_km.00224,https://search-proquest-com.libproxy.unl.edu/docview/95909855/EBB42FFD1BC2444EPQ/1?accountid=8116,"Whitman has clipped two articles from this same issue; one of the articles (""Uses of Astronomy"") is spread across two separate clippings."
"""Weekly Report of Deaths""",owu0019,1856-10-06,,The New York Herald,,,,New York,error,whitman_scrapbook_32.tif,http://find.galegroup.com.libproxy.unl.edu/ncnp/newspaperRetrieve.do?sgHitCountType=None&sort=DateAscend&tabID=T003&prodId=NCNP&resultListType=RESULT_LIST&searchId=R2&searchType=AdvancedSearchForm&currentPosition=15&qrySerId=Locale%28en%2C%2C%29%3AFQE%3D%28tx%2CNone%2C23%29weekly+report+of+deaths%3AAnd%3ALQE%3D%28da%2CNone%2C21%298%2F1%2F1856+-+10%2F30%2F1856%24&retrieveFormat=MULTIPAGE_DOCUMENT&userGroupName=linc74325&inPS=true&contentSet=LTO&&docId=&docLevel=FASCIMILE&workId=&relevancePageBatch=GT3003596183&contentSet=UDVIN&callistoContentSet=UDVIN&docPage=article&hilite=y,
"""The Census of Russia.""",owu1017,1856-10-26,,New York Herald,,,,New York,error,owu_rc_00256-7,http://find.galegroup.com.libproxy.unl.edu/ncnp/newspaperRetrieve.do?sgHitCountType=None&sort=DateAscend&tabID=T003&prodId=NCNP&resultListType=RESULT_LIST&searchId=R1&searchType=BasicSearchForm&currentPosition=4&qrySerId=Locale%28en%2C%2C%29%3AFQE%3D%28ke%2CNone%2C20%29the+census+of+russia%3AAnd%3ALQE%3D%28da%2CNone%2C11%291845+-+1860%24&retrieveFormat=MULTIPAGE_DOCUMENT&userGroupName=linc74325&inPS=true&contentSet=LTO&&docId=&docLevel=FASCIMILE&workId=&relevancePageBatch=GT3003597725&contentSet=UDVIN&callistoContentSet=UDVIN&docPage=article&hilite=y,
The staple products of Texas,owu0048,1856-11-14,,Brooklyn Daily Eagle,,,2,New York ,yes,whitman_scrapbook_177,https://bklyn.newspapers.com/image/50414312/?terms=cotton%2Bcrop%2Baugments,
,owu0042,1856-12-06,,Life Illustrated,,3,44-46,New York,yes,owu_cb.00029;  owu_cb.00031,http://search.ebscohost.com.libproxy.unl.edu/login.aspx?direct=true&db=h9k&AN=59956122&site=ehost-live,"Same as Chesapeake & Great Lakes, and How Far is it? Ours a Great Country"
The Chesapeake and the Great Lakes United,owu0042,1856-12-06,,Life Illustrated,,,,New York,error,owu_cah.00268,http://web.a.ebscohost.com.libproxy.unl.edu/ehost/archiveviewer/archive?vid=96&sid=eba9c500-8c6b-4a65-b0e6-85b737fa8d3d%40sessionmgr4006&bdata=JnNpdGU9ZWhvc3QtbGl2ZQ%3d%3d#kw=true&acc=false&lpId=divl33&ppId=divp6&twPV=null&xOff=0&yOff=1405&zm=3&fs=null&rot=0&docMapOpen=true&pageMapOpen=true&AN=59956106&db=h9k,
"How Far Is It? Ours a ""Great Country""",owu0042,1856-12-06,,Life Illustrated,,3,46-49,New York,yes,owu_cah.00511,http://search.ebscohost.com.libproxy.unl.edu/login.aspx?direct=true&db=h9k&AN=59956118&site=ehost-live,
"""central point of an active and industrious population""",owu0042,1856-12-06,,Life Illustrated,,3,44-45. ,New York,yes,owu_cb.00006,http://search.ebscohost.com.libproxy.unl.edu/login.aspx?direct=true&db=h9k&AN=59956122&site=ehost-live,
The Brooklyn Daily Eagle,owu0029,1856-12-12,,,,,2,New York,yes,owu_cah.00115,https://bklyn.newspapers.com/image/50418299,
"""The Greatest City"" ",owu1011,1856-12-20,,Life Illustrated,,3,63-72,New York,yes,whitman_scrapbook_344.tif,http://search.ebscohost.com.libproxy.unl.edu/login.aspx?direct=true&db=h9k&AN=59967247&site=ehost-live,
"Things Not Generally Known: A Popular Hand-book of Facts Not Readily Accessible in Literature, History, and Science",owu1001,1857,"Wells, David A.",,D. Appleton,,,New York,yes,"page 228, ""IS THE SUN INHABITED?"" corresponds to owu_rc.00020.jpg; p.40 ""Why there is no rain in peru"": whitman_scrapbook_271.tif",https://books.google.com/books?id=kNsWAAAAYAAJ&dq=things%20not%20generally%20known%20is%20the%20sun%20inhabited&pg=PA228#v=onepage&q=things%20not%20generally%20known%20is%20the%20sun%20inhabited&f=false,
"The Westminster Review, vol. LXVII",,1857,,,Leonard Scott & Co.,67,,New York,yes,owu_cb.00008.tif and following,"https://books.google.com/books?id=3XseAQAAMAAJ&pg=PA298&lpg=PA293&focus=viewport&dq=That+a+few+score+of+persons,+whose+avocations+were+those+of+herdsmen,+and+who+had+no+fixed+property&output=text#c_top",
Modern Naples,owu3026,1857-01-17,,Harper's Weekly,,,,,error,owu_km.00706,http://eds.a.ebscohost.com.libproxy.unl.edu/ehost/detail/detail?vid=0&sid=54d8c12a-9091-4aed-8591-18681eaabe91%40sessionmgr4010&bdata=JnNpdGU9ZWhvc3QtbGl2ZQ%3d%3d#AN=66961308&db=h9k,Pages 40-42
"""The Commerce of the La Plata--Advantages of Capt. Page's Explorations."" New York Daily Times",owu1004 (New York Daily Times),1857-01-19,,,,,,,error,"whitman_scrapbook_295.tif, back side on 296, back side of another part is on 297",https://search-proquest-com.libproxy.unl.edu/docview/95945711/fulltextPDF/9433D8CABA21401FPQ/1?accountid=8116,"couldn't find next scrap of newspaper, titled ""Prohibition by Constitutional ..."" on 298, looks like its from the same paper"
Statistical Notices on the Five Republics of Central America,owu0076,1857-01-25,R. De La Sagra,New York Herald,,,8,New York,yes,owu_cah.00557-8,http://find.galegroup.com.libproxy.unl.edu/ncnp/infomark.do?&source=gale&prodId=NCNP&userGroupName=linc74325&tabID=T003&docPage=article&searchType=AdvancedSearchForm&docId=GT3003610217&type=multipage&contentSet=LTO&version=1.0,
"THE SPANISH MOOR: OR, THE CONVENT OF ALCALA.: A STORY OF THE THRONE, THE ALTER AND THE FOREST. CHAPTER XV. THE TWO FALSE COUSINS",owu00040,1857-01-31,Eugene Scribe,Ballou's Pictorial Drawing - Room Companion ,,12,66,Boston,yes,whitman_scrapbook_111-112,https://search-proquest-com.libproxy.unl.edu/americanperiodicals/pagemap/124053010/pageview/858A04F01D5C4511PQ/18?t:lb=t&accountid=8116,
"Sketches in Sierra Leone, Western Africa.",owu0083,1857-01-31,,"Ballou's Pictorial Drawing-Room Companion, Vol. 12, Iss. 5",,12,67,Boston,yes,,https://search-proquest-com.libproxy.unl.edu/americanperiodicals/docview/124051175/17D245DEE33349A9PQ/6?accountid=8116,
Japan. Appearance of the Country.,owu0112,1857-02-08,,New York Times,,,2,New York,yes,owu_cah.000725-726,https://search-proquest-com.libproxy.unl.edu/docview/91446040/9D9B86AF09414B12PQ/1?accountid=8116,
We have already announced the grant by the Turkish Government,owu0089,1857-03-20,,New-York Daily Tribune,,,4,New York,yes,owu_cah.0037-40,https://chroniclingamerica.loc.gov/lccn/sn83030213/1857-03-20/ed-1/seq-4/,
H. M. Coral reefs,owu0030,1857-03-21,,LIfe Illustrated,,,,New York,error,owu_cah.00120,http://web.a.ebscohost.com.libproxy.unl.edu/ehost/archiveviewer/archive?vid=24&sid=eba9c500-8c6b-4a65-b0e6-85b737fa8d3d%40sessionmgr4006&bdata=JnNpdGU9ZWhvc3QtbGl2ZQ%3d%3d#kw=true&acc=false&lpId=divl45&ppId=divp7&twPV=null&xOff=0&yOff=9&zm=2&fs=null&rot=0&docMapOpen=true&pageMapOpen=true&AN=60413890&db=h9k,
Brief History of China,owu0030,1857-03-21,,LIfe Illustrated,,3,168-170,New York,yes,owu_cah.00685,http://search.ebscohost.com.libproxy.unl.edu/login.aspx?direct=true&db=h9k&AN=60413890&site=ehost-live,
Papuas,owu0030,1857-03-21,,LIfe Illustrated,,3,162-165,New York,yes,owu_cah.00727,http://search.ebscohost.com.libproxy.unl.edu/login.aspx?direct=true&db=h9k&AN=60413907&site=ehost-live,
Scenes in New Brunswick.,owu0072,1857-03-28,,"Ballou's Pictorial Drawing-Room Companion, Vol. 12, Iss. 13",,12,201,Boston,yes,owu_cah.00536,https://search-proquest-com.libproxy.unl.edu/docview/124050843/9E44FF29422D4DADPQ/1?accountid=8116,
"Canso Light, Nova Scotia",owu0072,1857-03-29,,"Ballou's Pictorial Drawing-Room Companion, Vol. 12, Iss. 14",,12,193,,yes,owu_cah.00538,https://search-proquest-com.libproxy.unl.edu/docview/124049246/7FEE9A1DFA654AA8PQ/1?accountid=8116,
News from New Granada,owu0075,1857-03-29,,New York Herald,,,2,New York,yes,owu_cah.00552-3,http://chroniclingamerica.loc.gov/lccn/sn83030313/1857-03-29/ed-1/seq-2/,
Cruise of the Sloop-of-War John Adams,owu0111,1857-03-29,,New York Herald,,,1,New York,yes,owu_cah.00723-724,http://chroniclingamerica.loc.gov/lccn/sn83030313/1857-03-29/ed-1/seq-1/,
Army and Militia of the United States (Also Wagon Road from Nebraska) ,owu0039,1857-04-05,,New York Herald,,,2,New York,yes,whitman_scrapbook_92,https://chroniclingamerica.loc.gov/lccn/sn83030313/1857-04-05/ed-1/seq-2/,
Wagon Road from Nebraska,owu0039,1857-04-05,,New York Herald,,,2,New York,yes,whitman_scrapbook_185,https://chroniclingamerica.loc.gov/lccn/sn83030313/1857-04-05/ed-1/seq-2/,"Same issue and source as ""Army and Militia of the United States"" see above."
Interests of Russia in China,owu0098,1857-04-06,,New York Herald,,,1,New York,yes,owu_cah.00671-674,https://chroniclingamerica.loc.gov/lccn/sn83030313/1857-04-06/ed-1/seq-1/,
The Emperor of China,owu0102,1857-04-06,,New-York Daily Tribune,,,6,New York,yes,owu_cah.00680 & owu_cah.00684,http://chroniclingamerica.loc.gov/lccn/sn83030213/1857-04-06/ed-1/seq-6/,Found through fultonsearch.org
Notes on the Missouri River,owu0050,1857-04-07,,New York Daily Tribune,,,6,New York,yes,whitman_scrapbook_183-184,https://chroniclingamerica.loc.gov/lccn/sn83030213/1857-04-07/ed-1/seq-6/#date1=1857&index=0&rows=20&words=fate+live+than+Worse&searchType=basic&sequence=0&state=&date2=1857&proxtext=Worse+fate+than+to+live&y=0&x=0&dateFilterType=yearRange&page=1,
The Southern States of the North American Union (by an English Traveler),owu0046,1857-04-18,"Listed as ""An English Traveler""; author is Edwin Lawrence Godkin ",May be The New York Weekly Tribune; it also appeared in the London Daily News,Macmillan Company,,,New York,yes,owu_cah.00321-owu_cah.00326?,https://books.google.com/books?id=CBZAAAAAYAAJ&pg=PA118&dq=%22Southern+letters+run+from+December%22&hl=en&sa=X&ved=0ahUKEwjeovTJke_cAhVE4oMKHVaYAYoQ6AEIJzAA#v=onepage&q=%22Southern%20letters%20run%20from%20December%22&f=false,"Link is to google books volume that reprints excerpts of Godkin's letters. There is a notice in April 17, 1857 issue of New York Daily Times that has a table of contents for the April 18, 1857 issue of the New York Weekly Times that lists the title as it appears here. If have access to Weekly Times, check that for source of original article."
"Madison, Wisconsin",owu0056,1857-04-18,,Life Illustrated,,3,200-209,New York,yes,owu_cah.00451,http://search.ebscohost.com.libproxy.unl.edu/login.aspx?direct=true&db=h9k&AN=60029031&site=ehost-live,
Sectarianism Among the Turks,owu0056,1857-04-18,,Life Illustrated,,3,200-204,New York,yes,owu_cah.00451,http://search.ebscohost.com.libproxy.unl.edu/login.aspx?direct=true&db=h9k&AN=60029048&site=ehost-live,"Same as ""Madison, Wisconsin"""
"News, &c. from Our Correspondents",owu0060,1857-04-25,,New York Herald,,,4,New York,yes,owu_cah.00465-6,https://chroniclingamerica.loc.gov/lccn/sn83030313/1857-04-25/ed-1/seq-4/,
The Prairies of Chontales,owu0074,1857-04-25,,Harper's Weekly,,,,New York,,owu_cah.00546-9,,
Some Celestial Paradoxes,owu0107,1857-04-25,,Harper's Weekly,,4,,New York,yes,owu_cah.00697-698,http://app.harpweek.com.libproxy.unl.edu/viewarticletext.asp?webhitsfile=hw18570425000033%2Ehtm&xpath=%2FTEI%2E2%5B1%5D%2Ftext%5B1%5D%2Fbody%5B1%5D%2Fdiv1%5B11%5D&xml=HW%5C1857%5C18570425%2Exml&titleid=HW&volumeid=1857&issueid=0425&pagerange=0260ad-0261a&restriction=&pageIDs=%7CHW-1857-04-25-0260%7CHW-1857-04-25-0261%7C,
Rivalry Existing Between England and Russia in Asia,owu2006,1857-04-26,,New York Herald,,,8,New York,yes,owu_cb.00033,http://chroniclingamerica.loc.gov/lccn/sn83030313/1857-04-26/ed-1/seq-8/,
Under the dominion of the Celestial Empire,owu0101,1857-05-11,,New-York Daily Tribune,,,4,New York,yes,owu_cah.00679 & owu_cah.00683,http://chroniclingamerica.loc.gov/lccn/sn83030213/1857-05-11/ed-1/seq-4/,Found through fultonsearch.org
Lake Superior Copper and Iron,owu0059,1857-05-20,,The Evening Post,,,2,,yes,owu_cah.00459-owu_cah.00460,http://nyshistoricnewspapers.org/lccn/sn83030384/1857-05-20/ed-1/seq-2/,
THE GREAT WEST,owu0049,1857-05-25,,New York Daily Times ,,,2,New York,yes,whitman_scrapbook_181-182,https://www.nytimes.com/1857/05/25/archives/the-great-west-character-of-the-development-in-program-at-the.html,https://timesmachine.nytimes.com/timesmachine/1857/05/25/78499139.html?pageNumber=2
Bayard Taylor in Northern Europe No. XXIII,owu0069,1857-06-12,,New York Daily Tribune,,,5,New York,yes,owu_cah.00521,https://chroniclingamerica.loc.gov/lccn/sn83030213/1857-06-12/ed-1/seq-5/,
Commercial Relations with Siam,owu0099,1857-06-13,,The Evening Post,,,2,,yes,owu_cah.00675-6,http://nyshistoricnewspapers.org/lccn/sn83030384/1857-06-13/ed-1/seq-2/,
